print(CP_Data)
['63', '3', '1', '5', '14.8483', '1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], 
['64', '3', '1', '5', '15.4504', '1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], 
['65', '3', '1', '5', '16.0525', '1.9978', '-1.0028', '0.00240', '0.03465', '1.99'], 
['66', '3', '1', '5', '16.6545', '1.9978', '-1.0026', '0.00237', '0.03442', '1.97'], 
['67', '3', '1', '5', '17.2566', '1.9978', '-1.0021', '0.00226', '0.03362', '1.93'], 
['68', '3', '1', '5', '17.8587', '1.9978', '-1.0008', '0.00206', '0.03210', '1.84'], 
['69', '3', '1', '5', '15.1255', '3.1116', '-1.0008', '0.00307', '0.03920', '2.25'], 
['70', '3', '1', '5', '15.5088', '3.1116', '-1.0017', '0.00251', '0.03540', '2.03'], 
['71', '3', '1', '5', '15.8921', '3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], 
['72', '3', '1', '5', '16.2753', '3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], 
['73', '3', '1', '5', '16.6586', '3.1116', '-1.0018', '0.00240', '0.03465', '1.99'], 
['74', '3', '1', '5', '17.0419', '3.1116', '-1.0017', '0.00237', '0.03442', '1.97'], 
['75', '3', '1', '5', '17.4252', '3.1116', '-1.0013', '0.00226', '0.03362', '1.93'], 
['76', '3', '1', '5', '17.8085', '3.1116', '-1.0005', '0.00206', '0.03210', '1.84'], 
['77', '3', '1', '5', '16.2017', '3.9209', '-1.0005', '0.00307', '0.03920', '2.25'], ['78', '3', '1', '5', '16.4261', '3.9209', '-1.0010', '0.00251', '0.03540', '2.03'], ['79', '3', '1', '5', '16.6504', '3.9209', '-1.0011', '0.00244', '0.03490', '2.00'], ['80', '3', '1', '5', '16.8747', '3.9209', '-1.0011', '0.00244', '0.03490', '2.00'], ['81', '3', '1', '5', '17.0990', '3.9209', '-1.0010', '0.00240', '0.03465', '1.99'], ['82', '3', '1', '5', '17.3234', '3.9209', '-1.0010', '0.00237', '0.03442', '1.97'], ['83', '3', '1', '5', '17.5477', '3.9209', '-1.0008', '0.00226', '0.03362', '1.93'], ['84', '3', '1', '5', '17.7720', '3.9209', '-1.0003', '0.00206', '0.03210', '1.84'], ['85', '3', '1', '5', '16.7675', '4.3463', '-1.0003', '0.00307', '0.03920', '2.25'], ['86', '3', '1', '5', '16.9083', '4.3463', '-1.0006', '0.00251', '0.03540', '2.03'], ['87', '3', '1', '5', '17.0491', '4.3463', '-1.0007', '0.00244', '0.03490', '2.00'], ['88', '3', '1', '5', '17.1898', '4.3463', '-1.0007', '0.00244', '0.03490', '2.00'], ['89', '3', '1', '5', '17.3306', '4.3463', '-1.0007', '0.00240', '0.03465', '1.99'], ['90', '3', '1', '5', '17.4713', '4.3463', '-1.0006', '0.00237', '0.03442', '1.97'], ['91', '3', '1', '5', '17.6121', '4.3463', '-1.0005', '0.00226', '0.03362', '1.93'], ['92', '3', '1', '5', '17.7528', '4.3463', '-1.0002', '0.00206', '0.03210', '1.84'], ['93', '4', '7', '5', '11.4650', '0.1397', '2.2972', '0.22369', '0.22520', '13.01'], ['94', '4', '7', '5', '11.4650', '0.3372', '2.0997', '0.24992', '0.24346', '14.09'], ['95', '4', '7', '5', '11.4650', '0.3372', '1.8203', '0.28954', '0.26928', '15.62'], ['96', '4', '7', '5', '11.4650', '0.1397', '1.6228', '0.31942', '0.28753', '16.71'], ['97', '4', '7', '5', '14.5550', '0.2793', '2.6343', '-0.02001', '-0.03224', '-1.85'], ['98', '4', '7', '5', '14.5550', '0.6743', '2.2393', '-0.00858', '-0.01336', '-0.77'], ['99', '4', '7', '5', '14.5550', '0.6743', '1.6807', '0.00900', '0.01336', '0.77'], ['100', '4', '7', '5', '14.5550', '0.2793', '1.2857', '0.02250', '0.03224', '1.85'], ['101', '4', '7', '5', '16.9450', '0.1397', '2.2972', '-0.13951', '-0.50366', '-30.24'], ['102', '4', '7', '5', '16.9450', '0.3372', '2.0997', '-0.13951', '-0.48704', '-29.15'], ['103', '4', '7', '5', '16.9450', '0.3372', '1.8203', '-0.13951', '-0.46355', '-27.62'], ['104', '4', '7', '5', '16.9450', '0.1397', '1.6228', '-0.13935', '-0.44693', '-26.55'], ['105', '5', '7', '5', '5.2450', '-0.1609', '0.3884', '0.03425', '0.04770', '2.73'], ['106', '5', '7', '5', '5.2450', '-0.3884', '0.1609', '0.04945', '0.06653', '3.81'], ['107', '5', '7', '5', '5.2450', '-0.3884', '-0.1609', '0.07271', '0.09315', '5.35'], ['108', '5', '7', '5', '5.2450', '-0.1609', '-0.3884', '0.09047', '0.11198', '6.43'], ['109', '5', '7', '5', '13.9500', '-0.3217', '0.7767', '-0.02001', '-0.03224', '-1.85'], ['110', '5', '7', '5', '13.9500', '-0.7767', '0.3217', '-0.00858', '-0.01336', '-0.77'], ['111', '5', '7', '5', '13.9500', '-0.7767', '-0.3217', '0.00900', '0.01336', '0.77'], ['112', '5', '7', '5', '13.9500', '-0.3217', '-0.7767', '0.02250', '0.03224', '1.85'], ['113', '5', '7', '5', '20.9720', '-0.1609', '0.5734', '-0.05591', '-0.10198', '-5.85'], ['114', '5', '7', '5', '20.9720', '-0.3884', '0.3459', '-0.05986', '-0.11090', '-6.37'], ['115', '5', '7', '5', '20.9720', '-0.3884', '0.0241', '-0.06512', '-0.12328', '-7.08'], ['116', '5', '7', '5', '20.9720', '-0.1609', '-0.2034', '-0.06862', '-0.13185', '-7.58'], ['117', '6', '1', '5', '11.9028', '-0.6884', '-0.9982', '0.00187', '0.03060', '1.75'], ['118', '6', '1', '5', '12.7620', '-0.6884', '-0.9961', '0.00237', '0.03440', '1.97'], ['119', '6', '1', '5', '13.6213', '-0.6884', '-0.9959', '0.00244', '0.03490', '2.00'], ['120', '6', '1', '5', '14.4806', '-0.6884', '-0.9959', '0.00244', '0.03490', '2.00'], ['121', '6', '1', '5', '15.3399', '-0.6884', '-0.9960', '0.00247', '0.03515', '2.01'], ['122', '6', '1', '5', '16.1991', '-0.6884', '-0.9963', '0.00250', '0.03538', '2.03'], ['123', '6', '1', '5', '17.0584', '-0.6884', '-0.9970', '0.00262', '0.03617', '2.07'], ['124', '6', '1', '5', '17.9177', '-0.6884', '-0.9988', '0.00284', '0.03770', '2.16'], ['125', '6', '1', '5', '13.6442', '-1.9978', '-0.9987', '0.00187', '0.03060', '1.75'], ['126', '6', '1', '5', '14.2462', '-1.9978', '-0.9973', '0.00237', '0.03440', '1.97'], ['127', '6', '1', '5', '14.8483', '-1.9978', '-0.9971', '0.00244', '0.03490', '2.00'], ['128', '6', '1', '5', '15.4504', '-1.9978', '-0.9971', '0.00244', '0.03490', '2.00'], ['129', '6', '1', '5', '16.0525', '-1.9978', '-0.9972', '0.00247', '0.03515', '2.01'], ['130', '6', '1', '5', '16.6545', '-1.9978', '-0.9974', '0.00250', '0.03538', '2.03'], ['131', '6', '1', '5', '17.2566', '-1.9978', '-0.9979', '0.00262', '0.03617', '2.07'], ['132', '6', '1', '5', '17.8587', '-1.9978', '-0.9992', '0.00284', '0.03770', '2.16'], ['133', '6', '1', '5', '15.1255', '-3.1116', '-0.9992', '0.00187', '0.03060', '1.75'], ['134', '6', '1', '5', '15.5088', '-3.1116', '-0.9983', '0.00237', '0.03440', '1.97'], ['135', '6', '1', '5', '15.8921', '-3.1116', '-0.9982', '0.00244', '0.03490', '2.00'], ['136', '6', '1', '5', '16.2753', '-3.1116', '-0.9982', '0.00244', '0.03490', '2.00'], ['137', '6', '1', '5', '16.6586', '-3.1116', '-0.9982', '0.00247', '0.03515', '2.01'], ['138', '6', '1', '5', '17.0419', '-3.1116', '-0.9983', '0.00250', '0.03538', '2.03'], ['139', '6', '1', '5', '17.4252', '-3.1116', '-0.9987', '0.00262', '0.03617', '2.07'], ['140', '6', '1', '5', '17.8085', '-3.1116', '-0.9995', '0.00284', '0.03770', '2.16'], ['141', '6', '1', '5', '16.2017', '-3.9209', '-0.9995', '0.00187', '0.03060', '1.75'], ['142', '6', '1', '5', '16.4261', '-3.9209', '-0.9990', '0.00237', '0.03440', '1.97'], ['143', '6', '1', '5', '16.6504', '-3.9209', '-0.9989', '0.00244', '0.03490', '2.00'], ['144', '6', '1', '5', '16.8747', '-3.9209', '-0.9989', '0.00244', '0.03490', '2.00'], ['145', '6', '1', '5', '17.0990', '-3.9209', '-0.9990', '0.00247', '0.03515', '2.01'], ['146', '6', '1', '5', '17.3234', '-3.9209', '-0.9990', '0.00250', '0.03538', '2.03'], ['147', '6', '1', '5', '17.5477', '-3.9209', '-0.9992', '0.00262', '0.03617', '2.07'], ['148', '6', '1', '5', '17.7720', '-3.9209', '-0.9997', '0.00284', '0.03770', '2.16'], ['149', '6', '1', '5', '16.7675', '-4.3463', '-0.9997', '0.00187', '0.03060', '1.75'], ['150', '6', '1', '5', '16.9083', '-4.3463', '-0.9994', '0.00237', '0.03440', '1.97'], ['151', '6', '1', '5', '17.0491', '-4.3463', '-0.9993', '0.00244', '0.03490', '2.00'], ['152', '6', '1', '5', '17.1898', '-4.3463', '-0.9993', '0.00244', '0.03490', '2.00'], ['153', '6', '1', '5', '17.3306', '-4.3463', '-0.9993', '0.00247', '0.03515', '2.01'], ['154', '6', '1', '5', '17.4713', '-4.3463', '-0.9994', '0.00250', '0.03538', '2.03'], ['155', '6', '1', '5', '17.6121', '-4.3463', '-0.9995', '0.00262', '0.03618', '2.07'], ['156', '6', '1', '5', '17.7528', '-4.3463', '-0.9998', '0.00284', '0.03770', '2.16'], ['157', '7', '1', '5', '11.9028', '-0.6884', '-1.0018', '0.00307', '0.03920', '2.25'], ['158', '7', '1', '5', '12.7620', '-0.6884', '-1.0039', '0.00251', '0.03540', '2.03'], ['159', '7', '1', '5', '13.6213', '-0.6884', '-1.0041', '0.00244', '0.03490', '2.00'], ['160', '7', '1', '5', '14.4806', '-0.6884', '-1.0041', '0.00244', '0.03490', '2.00'], ['161', '7', '1', '5', '15.3399', '-0.6884', '-1.0040', '0.00240', '0.03465', '1.99'], ['162', '7', '1', '5', '16.1991', '-0.6884', '-1.0037', '0.00237', '0.03442', '1.97'], ['163', '7', '1', '5', '17.0584', '-0.6884', '-1.0030', '0.00226', '0.03362', '1.93'], ['164', '7', '1', '5', '17.9177', '-0.6884', '-1.0012', '0.00206', '0.03210', '1.84'], ['165', '7', '1', '5', '13.6442', '-1.9978', '-1.0013', '0.00307', '0.03920', '2.25'], ['166', '7', '1', '5', '14.2462', '-1.9978', '-1.0027', '0.00251', '0.03540', '2.03'], ['167', '7', '1', '5', '14.8483', '-1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], ['168', '7', '1', '5', '15.4504', '-1.9978', '-1.0029', '0.00244', '0.03490', '2.00'], ['169', '7', '1', '5', '16.0525', '-1.9978', '-1.0028', '0.00240', '0.03465', '1.99'], ['170', '7', '1', '5', '16.6545', '-1.9978', '-1.0026', '0.00237', '0.03442', '1.97'], ['171', '7', '1', '5', '17.2566', '-1.9978', '-1.0021', '0.00226', '0.03362', '1.93'], ['172', '7', '1', '5', '17.8587', '-1.9978', '-1.0008', '0.00206', '0.03210', '1.84'], ['173', '7', '1', '5', '15.1255', '-3.1116', '-1.0008', '0.00307', '0.03920', '2.25'], ['174', '7', '1', '5', '15.5088', '-3.1116', '-1.0017', '0.00251', '0.03540', '2.03'], ['175', '7', '1', '5', '15.8921', '-3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], ['176', '7', '1', '5', '16.2753', '-3.1116', '-1.0018', '0.00244', '0.03490', '2.00'], ['177', '7', '1', '5', '16.6586', '-3.1116', '-1.0018', '0.00240', '0.03465', '1.99'], ['178', '7', '1', '5', '17.0419', '-3.1116', '-1.0017', '0.00237', '0.03442', '1.97'], ['179', '7', '1', '5', '17.4252', '-3.1116', '-1.0013', '0.00226', '0.03362', '1.93'], ['180', '7', '1', '5', '17.8085', '-3.1116', '-1.0005', '0.00206', '0.03210', '1.84'], ['181', '7', '1', '5', '16.2017', '-3.9209', '-1.0005', '0.00307', '0.03920', '2.25'], ['182', '7', '1', '5', '16.4261', '-3.9209', '-1.0010', '0.00251', '0.03540', '2.03'], ['183', '7', '1', '5', '16.6504', '-3.9209', '-1.0011', '0.00244', '0.03490', '2.00'], ['184', '7', '1', '5', '16.8747', '-3.9209', '-1.0011', '0.00244', '0.03490', '2.00'], ['185', '7', '1', '5', '17.0990', '-3.9209', '-1.0010', '0.00240', '0.03465', '1.99'], ['186', '7', '1', '5', '17.3234', '-3.9209', '-1.0010', '0.00237', '0.03442', '1.97'], ['187', '7', '1', '5', '17.5477', '-3.9209', '-1.0008', '0.00226', '0.03362', '1.93'], ['188', '7', '1', '5', '17.7720', '-3.9209', '-1.0003', '0.00206', '0.03210', '1.84'], ['189', '7', '1', '5', '16.7675', '-4.3463', '-1.0003', '0.00307', '0.03920', '2.25'], ['190', '7', '1', '5', '16.9083', '-4.3463', '-1.0006', '0.00251', '0.03540', '2.03'], ['191', '7', '1', '5', '17.0491', '-4.3463', '-1.0007', '0.00244', '0.03490', '2.00'], ['192', '7', '1', '5', '17.1898', '-4.3463', '-1.0007', '0.00244', '0.03490', '2.00'], ['193', '7', '1', '5', '17.3306', '-4.3463', '-1.0007', '0.00240', '0.03465', '1.99'], ['194', '7', '1', '5', '17.4713', '-4.3463', '-1.0006', '0.00237', '0.03442', '1.97'], ['195', '7', '1', '5', '17.6121', '-4.3463', '-1.0005', '0.00226', '0.03362', '1.93'], ['196', '7', '1', '5', '17.7528', '-4.3463', '-1.0002', '0.00206', '0.03210', '1.84'], ['197', '8', '7', '5', '11.4650', '-0.1397', '2.2972', '0.22369', '0.22520', '13.01'], ['198', '8', '7', '5', '11.4650', '-0.3372', '2.0997', '0.24992', '0.24346', '14.09'], ['199', '8', '7', '5', '11.4650', '-0.3372', '1.8203', '0.28954', '0.26928', '15.62'], ['200', '8', '7', '5', '11.4650', '-0.1397', '1.6228', '0.31942', '0.28753', '16.71'], ['201', '8', '7', '5', '14.5550', '-0.2793', '2.6343', '-0.02001', '-0.03224', '-1.85'], ['202', '8', '7', '5', '14.5550', '-0.6743', '2.2393', '-0.00858', '-0.01336', '-0.77'], ['203', '8', '7', '5', '14.5550', '-0.6743', '1.6807', '0.00900', '0.01336', '0.77'], ['204', '8', '7', '5', '14.5550', '-0.2793', '1.2857', '0.02250', '0.03224', '1.85'], ['205', '8', '7', '5', '16.9450', '-0.1397', '2.2972', '-0.13951', '-0.50366', '-30.24'], ['206', '8', '7', '5', '16.9450', '-0.3372', '2.0997', '-0.13951', '-0.48704', '-29.15'], ['207', '8', '7', '5', '16.9450', '-0.3372', '1.8203', '-0.13951', '-0.46355', '-27.62'], ['208', '8', '7', '5', '16.9450', '-0.1397', '1.6228', '-0.13935', '-0.44693', '-26.55']]

