print(Forces_Data)
[[1, 1, 1, 1, 5.245, 0.1609, 0.3884, 0.03425, 842.0455479314908, -4010.241922023725, -9694.049370561288], 
[2, 1, 2, 1, 5.245, 0.3884, 0.1609, 0.04945, 282.95883155139364, -3257.563548235419, -1347.5914352635123], 
[3, 1, 3, 1, 5.245, 0.3884, -0.1609, 0.07271, -572.5909725934125, 6591.953571981662, -2726.9645069761273], 
[4, 1, 4, 1, 5.245, 0.1609, -0.3884, 0.09047, -1225.839662258579, 5838.061391506482, -14112.47911175189], 
[5, 1, 1, 2, 13.95, 0.3217, 0.7767, -0.02001, -0.0, -17867.5955910153, -43106.15750939461], 
[6, 1, 2, 2, 13.95, 0.7767, 0.3217, -0.00858, -0.0, -36720.08966202915, -15220.556645624638], 
[7, 1, 3, 2, 13.95, 0.7767, -0.3217, 0.009, -0.0, -26897.948563456564, 11149.257900220631], 
[8, 1, 4, 2, 13.95, 0.3217, -0.7767, 0.0225, -0.0, -8022.833948971821, 19355.348743733586], 
[9, 1, 1, 3, 20.972, 0.1609, 0.5734, -0.05591, -2469.168272768376, -13474.604002821708, -32522.47353560632], 
[10, 1, 2, 3, 20.972, 0.3884, 0.3459, -0.05986, -3585.9588273041645, -33627.51186012783, -13941.329726560069], 
[11, 1, 3, 3, 20.972, 0.3884, 0.0241, -0.06512, -5262.556617612048, -35147.73215412426, 14558.459547992454], 
[12, 1, 4, 3, 20.972, 0.1609, -0.2034, -0.06862, -6507.212886429909, -14998.332140673814, 36146.77402157102], 
[13, 2, 1, 1, 11.9028, 0.6884, -0.9982, 0.00187, -32.81622950135128, 49.22434425202692, 8204.05737533782], 
[14, 2, 2, 1, 12.762, 0.6884, -0.9961, 0.00237, -0.0, 8.129156050402095, 8129.156050402095], 
[15, 2, 3, 1, 13.6213, 0.6884, -0.9959, 0.00244, -0.0, 8.11876694614113, 8118.76694614113], 
[16, 2, 4, 1, 14.4806, 0.6884, -0.9959, 0.00244, -0.0, 8.11876694614113, 8118.76694614113], 
[17, 2, 5, 1, 15.3399, 0.6884, -0.996, 0.00247, 0.0, 8.11431447288643, 8114.31447288643], 
[18, 2, 6, 1, 16.1991, 0.6884, -0.9963, 0.0025, 0.0, 8.10986199963173, 8109.86199963173], 
[19, 2, 7, 1, 17.0584, 0.6884, -0.997, 0.00262, 8.09205210661293, 0.0, 8092.052106612931], 
[20, 2, 8, 1, 17.9177, 0.6884, -0.9988, 0.00284, 24.178201908235398, 0.0, 8059.400636078466], 
[21, 2, 1, 2, 13.6442, 1.9978, -0.9987, 0.00187, -20.742098234393108, 31.11314735158966, 5185.524558598277], 
[22, 2, 2, 2, 14.2462, 1.9978, -0.9973, 0.00237, -0.0, 5.138616140736, 5138.616140736], 
[23, 2, 3, 2, 14.8483, 1.9978, -0.9971, 0.00244, -0.0, 5.132048962235281, 5132.048962235281], 
[24, 2, 4, 2, 15.4504, 1.9978, -0.9971, 0.00244, -0.0, 5.132048962235281, 5132.048962235281], 
[25, 2, 5, 2, 16.0525, 1.9978, -0.9972, 0.00247, 0.0, 5.129234457163544, 5129.234457163544], 
[26, 2, 6, 2, 16.6545, 1.9978, -0.9974, 0.0025, 0.0, 5.126419952091807, 5126.419952091806], 
[27, 2, 7, 2, 17.2566, 1.9978, -0.9979, 0.00262, 5.1151619318048605, 0.0, 5115.161931804861], 
[28, 2, 8, 2, 17.8587, 1.9978, -0.9992, 0.00284, 15.283566683836375, 0.0, 5094.522227945458], 
[29, 2, 1, 3, 15.1255, 3.1116, -0.9992, 0.00187, -10.479225344950143, 15.718838017425213, 2619.8063362375356], 
[30, 2, 2, 3, 15.5088, 3.1116, -0.9983, 0.00237, -0.0, 2.596107485918776, 2596.1074859187756], 
[31, 2, 3, 3, 15.8921, 3.1116, -0.9982, 0.00244, -0.0, 2.5927896468741496, 2592.7896468741496], 
[32, 2, 4, 3, 16.2753, 3.1116, -0.9982, 0.00244, -0.0, 2.5927896468741496, 2592.7896468741496], 
[33, 2, 5, 3, 16.6586, 3.1116, -0.9982, 0.00247, 0.0, 2.591367715855024, 2591.367715855024], 
[34, 2, 6, 3, 17.0419, 3.1116, -0.9983, 0.0025, 0.0, 2.5899457848358987, 2589.9457848358984], 
[35, 2, 7, 3, 17.4252, 3.1116, -0.9987, 0.00262, 2.584258060759396, 0.0, 2584.258060759396], 
[36, 2, 8, 3, 17.8085, 3.1116, -0.9995, 0.00284, 7.721491699857426, 0.0, 2573.830566619142], 
[37, 2, 1, 4, 16.2017, 3.9209, -0.9995, 0.00187, -3.9387241900024352, 5.908086285003653, 984.6810475006088], 
[38, 2, 2, 4, 16.4261, 3.9209, -0.999, 0.00237, -0.9757735918487721, 0.9757735918487721, 975.7735918487721], 
[39, 2, 3, 4, 16.6504, 3.9209, -0.9989, 0.00244, -0.0, 0.974526548057515, 974.526548057515], 
[40, 2, 4, 4, 16.8747, 3.9209, -0.9989, 0.00244, -0.0, 0.974526548057515, 974.526548057515], 
[41, 2, 5, 4, 17.099, 3.9209, -0.999, 0.00247, 0.0, 0.9739921007184048, 973.9921007184048], 
[42, 2, 6, 4, 17.3234, 3.9209, -0.999, 0.0025, 0.0, 0.9734576533792946, 973.4576533792946], 
[43, 2, 7, 4, 17.5477, 3.9209, -0.9992, 0.00262, 0.9713198640228539, 0.0, 971.3198640228538], 
[44, 2, 8, 4, 17.772, 3.9209, -0.9997, 0.00284, 2.9022017506081372, 0.0, 967.4005835360457], 
[45, 2, 1, 5, 16.7675, 4.3463, -0.9997, 0.00187, -0.8515410748808083, 1.2773116123212125, 212.88526872020208], 
[46, 2, 2, 5, 16.9083, 4.3463, -0.9994, 0.00237, -0.21095950189969936, 0.21095950189969936, 210.95950189969935], 
[47, 2, 3, 5, 17.0491, 4.3463, -0.9993, 0.00244, -0.0, 0.210689894544829, 210.689894544829], 
[48, 2, 4, 5, 17.1898, 4.3463, -0.9993, 0.00244, -0.0, 0.210689894544829, 210.689894544829], 
[49, 2, 5, 5, 17.3306, 4.3463, -0.9993, 0.00247, 0.0, 0.21057434853559884, 210.57434853559883], 
[50, 2, 6, 5, 17.4713, 4.3463, -0.9994, 0.0025, 0.0, 0.21045880252636867, 210.45880252636866], 
[51, 2, 7, 5, 17.6121, 4.3463, -0.9995, 0.00262, 0.209996618489448, 0.0, 209.996618489448], 
[52, 2, 8, 5, 17.7528, 4.3463, -0.9998, 0.00284, 0.6274478432652805, 0.0, 209.14928108842682], 
[53, 3, 1, 1, 11.9028, 0.6884, -1.0018, 0.00307, 32.10377356118083, -48.155660341771245, 8025.943390295207], 
[54, 3, 2, 1, 12.762, 0.6884, -1.0039, 0.00251, 8.108377841880163, -8.108377841880163, 8108.377841880163], 
[55, 3, 3, 1, 13.6213, 0.6884, -1.0041, 0.00244, -0.0, -8.11876694614113, 8118.76694614113], 
[56, 3, 4, 1, 14.4806, 0.6884, -1.0041, 0.00244, -0.0, -8.11876694614113, 8118.76694614113], 
[57, 3, 5, 1, 15.3399, 0.6884, -1.004, 0.0024, -0.0, -8.124703577147397, 8124.703577147397], 
[58, 3, 6, 1, 16.1991, 0.6884, -1.0037, 0.00237, -0.0, -8.129156050402095, 8129.156050402095], 
[59, 3, 7, 1, 17.0584, 0.6884, -1.003, 0.00226, -8.145481785669329, -0.0, 8145.481785669329], 
[60, 3, 8, 1, 17.9177, 0.6884, -1.0012, 0.00206, -24.52549482210198, -0.0, 8175.16494070066], 
[61, 3, 1, 2, 13.6442, 1.9978, -1.0013, 0.00307, 20.291777422915242, -30.437666134372865, 5072.9443557288105], 
